id,storage_capacity,cpu_cores,cpu_clock,ram_capacity,touch_screen,screen_size,screen_refresh,battery_capacity,year,dedicated_gpu,rating,price,used,ram_type_DDR3,ram_type_DDR4,ram_type_DDR5,ram_type_LPDDR4,ram_type_LPDDR5,fair_price
65,1000,14,4.5,24,False,14.2,120,72,2024.0,False,4.8,2099.0,False,False,False,False,False,True,2162.16
64,512,12,4.5,24,False,14.2,120,72,2024.0,False,4.8,1749.0,False,False,False,False,False,True,1733.66
63,128,8,3.2,8,False,13.3,60,50,2020.0,False,4.0,391.4,True,False,True,False,False,False,389.87
62,1000,10,4.6,24,False,14.2,120,72,2025.0,False,4.7,1849.0,False,False,False,False,False,True,1740.11
61,512,10,4.6,16,False,14.2,120,72,2025.0,False,4.7,1449.0,False,False,False,False,False,True,1428.34
60,1000,10,4.6,16,False,14.2,120,72,2025.0,False,4.7,1627.89,False,False,False,False,False,True,1506.08
59,320,4,1.1,16,False,14.0,60,40,2025.0,False,4.3,399.99,False,False,True,False,False,False,385.66
58,64,4,1.1,16,False,14.0,60,40,2025.0,False,4.3,399.99,False,False,True,False,False,False,356.29
57,128,4,1.1,16,False,14.0,60,40,2025.0,False,4.3,359.1,False,False,True,False,False,False,365.64
56,128,4,3.2,16,False,15.6,60,40,2023.0,False,4.3,449.99,False,False,True,False,False,False,397.59
55,128,4,1.1,8,False,15.6,60,40,2025.0,False,4.3,399.99,False,False,True,False,False,False,350.02
54,128,4,1.1,8,False,15.6,60,40,2025.0,False,4.3,298.83,False,False,True,False,False,False,350.02
53,1000,8,4.6,16,False,15.6,60,38,2024.0,False,4.5,569.0,False,False,True,False,False,False,608.5
52,2000,8,4.6,16,False,15.6,60,38,2024.0,False,4.5,829.0,False,False,True,False,False,False,746.22
51,512,8,4.6,16,False,15.6,60,38,2024.0,False,4.5,441.0,False,False,True,False,False,False,486.3
50,128,4,3.6,16,False,14.0,60,41,2025.0,False,4.2,305.1,False,False,True,False,False,False,323.15
49,64,4,1.1,4,True,14.0,60,47,2022.0,False,4.3,163.85,False,False,True,False,False,False,199.11
48,64,2,2.8,4,False,14.0,60,41,2021.0,False,4.1,172.89,False,False,True,False,False,False,178.83
47,512,10,4.4,24,False,15.3,60,54,2025.0,False,4.8,1399.0,False,False,False,False,False,True,1369.32
